id_sdfn,folio,sdf_nom,latitud,longitud,area_sup,s_deent
223,3002,BONFIL,"2,736,845,617","-11,268,668,942",0,BAJA CALIFORNIA SUR
224,3002,SAN IGNACIO,"27,271,451","-112,889,843",0,BAJA CALIFORNIA SUR
225,3002,BAHIA ASUNCION,"27,183,002","-114,309,023",0,BAJA CALIFORNIA SUR
226,3002,BAHIA TORTUGAS,"27,731,558","-11,492,087",0,BAJA CALIFORNIA SUR
227,3002,HEROICA MULEGE LAS PLUMAS,"26,902,728","-112,016,277",0,BAJA CALIFORNIA SUR
228,3002,VILLA ALBERTO ANDRES ALVARADO ARAMBURO,"27,623,621","-113,402,729",0,BAJA CALIFORNIA SUR
229,3002,GUERRERO NEGRO,"2,796,380,556","-1,139,850,556",0,BAJA CALIFORNIA SUR
230,3002,EJIDO (PALO VERDE) SAN LUCAS,"2,703,026,978","-11,209,299,606",0,BAJA CALIFORNIA SUR
231,3002,PUNTA EUGENIA,"27,835,067","-115,058,966",0,BAJA CALIFORNIA SUR
232,3003,RELLENO SANITARIO LA PAZ,"2,420,142","-11,024,375",526860,BAJA CALIFORNIA SUR
233,3003,LOS PLANES,"2,397,837,496","-10,992,531,946",0,BAJA CALIFORNIA SUR
234,3003,LOS BARRILES,"2,383,883,333","-1,097,546,667",0,BAJA CALIFORNIA SUR
235,3003,SAN ANTONIO,"2,382,991,054","-11,005,238,807",0,BAJA CALIFORNIA SUR
236,3003,TODOS SANTOS-EL PESCADERO,"2,339,708,333","-1,101,783,333",0,BAJA CALIFORNIA SUR
253,3009,BASURERO O TIRADERO AL AIRE LIBRE DE LORETO,"26,047,157","-111,371,716",90000,BAJA CALIFORNIA SUR
262,12067,BASURERO MUNICIPAL MINAS DE LAS FRAGUAS,"18,255,433","-100,496,317","29,443,239",GUERRERO
263,12067,BASURERO DE SAN JOSE POLIUTLA,"1,826,413,333","-10,038,011,111",5000,GUERRERO
321,24009,TIRADERO MUNICIPAL,"22,175,676","-100,832,546",5000,SAN LUIS POTOSI
322,12013,BASURERO MUNICIPAL DE AZOYU,"1,671,411,333","-9,861,381,667",5000,GUERRERO
341,24045,RELLENO SANITARIO,"2,294,951,238","-1,011,143,227",22500,SAN LUIS POTOSI
342,24045,TIRADERO,"22,948,764","-101,112,864",10000,SAN LUIS POTOSI
343,24046,RELLENO SANITARIO DE VILLA DE ARRIAGA,"219,293,056","-1,013,664,167",30000,SAN LUIS POTOSI
347,12044,BASURERO MUNICIPAL DE MOCHITLAN,"17,486,416,666,667","-99,356,888,888,889","4,210,796",GUERRERO
348,12061,BASURERO MUNICIPAL LA GALLINITA,"17,588,216,667","-9,937,395","9169,18",GUERRERO
363,24051,BASURERO DE LA COMUNIDAD DE GRANJENAL,"224,713,036","-1,006,653,567",20000,SAN LUIS POTOSI
364,18005,RELLENO SANITARIO DEL SOBASTO,"22,511,428,361","-10,540,109,667",120000,NAYARIT
421,12010,BASURERO MUNICIPAL DE ATLIXTAC-LINDERO,"1,758,667","-9,896,588,667",2500,GUERRERO
422,12010,BASURERO DE PETATLAN,"1,759,034,167","-9,898,353,611",2500,GUERRERO
423,12010,BASURERO DE TLATLAUQUITEPEC,"1,756,488,611","-9,882,147,778",400,GUERRERO
424,12016,BASURERO MUNICIPAL LA CRUCITA,"1,831,033,333","-10,172,480,556",1600,GUERRERO
429,12019,BASURERO MUNICIPAL DE LA CURVA DE TIERRA BLANCA,"180,426","-9,903,211,667","5,569,468",GUERRERO
430,12019,BASURERO DE TLALCOZOTITLAN,"1,789,334,444","-9,911,870,556","2897,37",GUERERO
431,12019,BASURERO DE SAN FRANCISCO OZTUTLA,"1,797,308,056","-9,898,483,611","871,097",GUERRERO
432,12019,BASURERO DE ZICAPA,"1,791,549,722","-9,902,911,111",5000,GUERRERO
433,12019,BASURERO DE HUEYIATL,"1,791,207,222","-9,914,148,889",5000,GUERRERO
435,12048,BASURERO MUNICIPAL LA MOLONGA,"1,752,479,722","-1,012,473",10000,GUERRERO
436,12050,BASURERO MUNICIPAL DE PUNGARABATO,"1,833,987,833","-10,060,166,944","100,201,279",GUERRERO
439,12052,BASURERO MUNICIPAL DE SAN LUIS ACATLAN,"1,681,006,333","-9,871,326","3,716,936",GUERRERO
440,12052,BASURERO MUNICIPAL PROVISIONAL DE SAN LUIS ACATLAN,"1,680,491,111","-9,875,824,722",5000,GUERRERO
441,12057,BASURERO MUNICIPAL EL LIMON,"17,228,777,778","-10,070,736,111",50000,GUERRERO
442,12057,BASURERO DE SAN LUIS SAN PEDRO,"1,724,874,444","-10,084,811,389",20000,GUERRERO
443,12057,BASURERO DE SAN LUIS DE LA LOMA,"172,626,472","-100,903,805",10000,GUERRERO
446,12059,BASURERO MUNICIPAL 2 DE TEPECOACUILCO,"18,289,483,333","-994,848",10000,GUERRERO
447,12059,BASURERO DE ACAYAHUALCO,"18,214,217","-994,791","5,125,128",GUERRERO
448,12059,BASURERO DE MAYANALAN,"1,815,735","-99,428,633","2,286,641",GUERRERO
449,12059,BASURERO DE RINCON DE LA COCINA,"182,377","-9,946,125","2,462,721",GUERRERO
450,12059,BASURERO DE XALITLA,"1,799,083,056","-9,954,198,333",6000,GUERRERO
453,12068,BASURERO DE PETACALCO,"18,016,944,444","-10,210,427,778",10000,GUERRERO
454,12077,BASURERO MUNICIPAL DE MARQUELIA,"16,589,666,667","-98,794,638,889","9,305,913",GUERRERO
457,12080,BASURERO MUNICIPAL DE JUCHITAN,"16,611,505","-9,868,718,667","8,684,727",GUERRERO
458,18016,RELLENO SANITARIO DEL SOBASTO,"22,511,428,361","-10,540,109,667",120000,NAYARIT
460,18001,RELLENO SANITARIO DEL SOBASTO,"22,511,428,361","-10,540,109,667",120000,NAYARIT
461,12020,BASURERO MUNICIPAL DE COPANATOYAC RUMBO A YELOTEPEC,"17,454,233,333","-987,188",625,GUERRERO
462,12028,RELLENO SANITARIO EL TEXCAL,"1,762,731,667","-991,565",2500,GUERRERO
465,12051,BASURERO MUNICIPAL TIERRA COLORADA,"17,395,388,889","-99,228,277,778","9803,5",GUERRERO
466,12051,BASURERO DE COLOTLIPA,"1,740,541,111","-9,915,961,944",0,GUERRERO
482,12072,BASURERO MUNICIPAL DE ZAPOTITLAN TABLAS,"17,445,263,889","-98,786,111,111",5600,GUERRERO
483,12076,BASURERO MUNICIPAL CRUCERO DE TEOCUITLAPA,"17,324,937","-98,923,075",5000,GUERRERO
484,24036,RELLENO SANITARIO MUNICIPAL DE TAMASOPO,"220,116,322","-993,106,564",7275,SAN LUIS POTOSI
486,12006,BASURERO MUNICIPAL LA CAMBAYA,"1,814,657,222","-9,992,845,278",0,GUERRERO
487,24047,TIRADERO MUNICIPAL DE BASURA,"233,874,722","-1,007,503,611",50,SAN LUIS POTOSI
488,24055,TIRADERO MUNICIPAL,"220,260,556","-1,007,663,889",15000,SAN LUIS POTOSI
489,24056,RELLENO SANITARIO,"226,581","-1,008,109,611",15000,SAN LUIS POTOSI
501,12015,RELLENO SANITARIO DE BUENAVISTA DE CUELLAR,"18,487,267","-9,942,475",20000,GUERRERO
521,12017,BASURERO DE ATLIXTAC,"1,817,421,111","-9,971,113,611",5000,GUERRERO
541,12026,BASURERO MUNICIPAL DE CUETZALA DEL PROGRESO,"18,126,875","-9,984,561,389",300,GUERRERO
542,12026,BASURERO DE CHILACACHAPA,"1,828,850,833","-9,978,490,279",112,GUERRERO
543,12026,BASURERO DE TIANQUIZOLCO,"1,823,301,667","-9,974,141,667",0,GUERRERO
544,12026,BASURERO DE APETLANCA,"1,822,796,944","-9,979,937,222",0,GUERRERO
572,15003,GUNYO PONIENTE,"20,137,435","-99,840,592",376216000,MEXICO
590,27001,TIRADERO A CIELO ABIERTO DE LA CABECERA MUNICIPAL,"178,107,748","-9,149,166,732",0,TABASCO
591,27001,TIRADERO A CIELO ABIERTO DE LA VILLA EL TRIUNFO,"1,792,060,478","-9,114,252,532",0,TABASCO
593,27002,BASURERO MUNICIPAL,"180,233,888,888,889","-934,673,333,333,333",10000,TABASCO
594,27003,BASURERO A CIELO ABIERTO,"1,854,944,444","-9,262,180,556","86766,15",TABASCO
595,27005,RELLENO SANITARIO DEL MUNICIPIO DE COMALCALCO,"1,822,966,667","-9,325,247,222",300000,TABASCO
596,12042,BASURERO MUNICIPAL ORGANOTITLAN,"177,607","-9,930,685",9900,GUERRERO
597,12042,BASURERO DE ZOTOLTITLAN,"177,360,033,333,333","-993,151,116,666,667",0,GUERRERO
598,27006,TIRADERO A CIELO ABIERTO DEL MUNICIPIO DE CUNDUACAN,"1,804,401,461","-9,321,873,616",0,TABASCO
599,27007,RELLENO SANITARIO DEL MUNICIPIO DE EMILIANO ZAPATA TABASCO,"1,769,291,675","-9,164,597,586",50000,TABASCO
601,27009,TIRADERO A CIELO ABIERTO DEL MUNICIPIO DE JALAPA,"1,772,539,743","-9,279,332,183",30700,TABASCO
602,27008,RELLENO SANITARIO MUNICIPAL,"177,903","-9,335,985",0,TABASCO
603,27010,TIRADERO A CIELO ABIERTO DEL MUNICIPIO DE CUNDUACAN,"1,804,401,461","-9,321,873,616",0,TABASCO
604,27012,TIRADERO A CIELO ABIERTO FRANCISCO I MADERO EL JOBO,"1,777,824,788","-9,253,161,822",270000,TABASCO
605,12049,BASURERO MUNICIPAL DE PILCAYA,"1,871,995","-9,965,714,833",0,GUERRERO
606,12055,RELLENO SANITARIO XOCHULA,"18,522,695","-9,959,107",60000,GUERRERO
621,12004,BASURERO MUNICIPAL MINI YAA,"17,448,472,222","-98,410,416,667","4821,5",GUERRERO
622,12033,BASURERO MUNICIPAL DE HUAMUXTITLAN,"17,815,444,444","-98,546,138,889",0,GUERRERO
623,12033,BASURERO DE TOTOLAPA,"17,842,027,778","-98,576,611,111",0,GUERRERO
624,12033,BASURERO DE TLALQUETZALA-POZA ONDA,"17,709,527,778","-98,526,777,778",0,GUERRERO
625,12033,BASURERO DE SAN PEDRO,"17,694,138,889","-98,515,805,556",0,GUERRERO
626,12033,BASURERO DE COYAHUALCO,"1,772,675","-98,563,611,111",0,GUERRERO
627,12033,BASURERO DE TLAQUILTEPEC,"1,772,125","-98,548,694,444",0,GUERRERO
628,12045,BASURERO MUNICIPAL LINDA VISTA,"1,775,443,333","-9,874,023,333","5,499,479",GUERRERO
629,12045,BASURERO COMUNAL DE TEMALACATZINGO,"1,786,769,722","-9,873,471,667","5,784,455",GUERRERO
630,12070,BASURERO MUNICIPAL PARAJE XOCOTITLA,"1,787,515","-9,848,228,056",0,GUERRERO
632,8002,SITIO DE DISPOSICION FINAL (RELLENO SANITARIO),"2,869,989","-10,603,307",490000,CHIHUAHUA
633,8004,SITIO DE DISPOSICION FINAL (RELLENO SANITARIO),"2,869,989","-10,603,307",490000,CHIHUAHUA
641,12002,BASURERO MUNICIPAL DE AHUACUOTZINGO,"17,723,867","-9,893,638,333",1000,GUERRERO
642,8005,RELLENO SANITARIO MUNICIPAL,"3,106,924","-10,795,182",0,CHIHUAHUA
643,8005,BASURERO GUADALUPE VICTORIA,"3,154,754","-10,773,228",0,CHIHUAHUA
644,8005,BASURERO COL MODELO,"31,508,254","-107,601,795",0,CHIHUAHUA
645,8005,BASURERO COLONIA 6 DE ENERO,"3,145,816","-10,760,362",0,CHIHUAHUA
646,8005,BASURERO PUERTO PALOMAS,"31,766,671","-107,584,507",0,CHIHUAHUA
647,12065,BASURERO MUNICIPAL DEL LIBRAMIENTO,"1,756,655","-9,836,026,944",1200,GUERRERO
648,12065,BASURERO DEL ORGANO,"17,558,956","-98,363,622",240,GUERRERO
649,12065,BASURERO DE TECOYAME,"17,620,011","-98,456,631",1200,GUERRERO
650,12065,BASURERO DEL CRUCERO DE AHUACATITLAN,"17,567,261","-98,430,308",800,GUERRERO
651,12065,BASURERO DE MEZQUITITLAN,"1,757,589,167","-9,845,413,889",800,GUERRERO
652,8006,RELLENO SANITARIO SAN JOSE,"28,781,437","-107,271,372",535,CHIHUAHUA
653,8010,BASURERO MUNICIPAL,"29,859,383","-107,422,118",0,CHIHUAHUA
654,8010,BASURERO RICARDO FLORES MAGON,"29,946,894","-106,993,735",0,CHIHUAHUA
655,8010,EJIDO CONSTITUCION,"29,930,901","-106,842,574",0,CHIHUAHUA
656,8010,BASURERO BENITO JUAREZ,"30,145,858","-10,683,961",0,CHIHUAHUA
657,8010,BASURERO EJIDO SAN LORENZO,"2,979,221,738","-10,707,955,509",0,CHIHUAHUA
658,8010,BASURERO MUNICIPAL PROGRESO,"3,042,863,337","-10,728,765,536",0,CHIHUAHUA
659,12074,BASURERO DE MAZATEPEC,"17,673,167","-992,134",1600,GUERRERO
660,12079,BASURERO ATEMPA,"1,744,756,389","-9,901,521,389",5000,GUERRERO
662,8015,RELLENO SANITARIO,"29,436,172","-105,073,328",3000,CHIHUAHUA
663,8015,RELLENO SANITARIO LA PAZ DE MEXICO,"29,356,456","-104,943,634",1500,CHIHUAHUA
664,8015,RELLENO SANITARIO CUCHILLO PARADO,"2,943,598","-10,486,763",1500,CHIHUAHUA
665,8015,RELLENO SANITARIO SAN PEDRO,"29,327,957","-104,915,818",1500,CHIHUAHUA
666,29022,RELLENO SANITARIO TONSIL,"19,332,125","-9,828,806,667",680000,TLAXCALA
676,12021,BASURERO MUNICIPAL PIEDRAS AZULES,"1,697,883,333","-10,002,902,778",4500,GUERRERO
681,18003,BASURERO DE LA ESTANCIA DE LOS LOPEZ,"20,861,477,778","-104,445,008,329,999",0,NAYARIT
682,18003,BASURERO DE MEZQUITES COMUNIDAD DEL MUNICIPIO DE AMATLAN DE CAÑAS,"20,919,866,667","-104,546,058,329,999",0,NAYARIT
709,3008,SITIO CONTROLADO PALO ESCOPETA,"2,315,001,615","-10,962,983,175",216000,BAJA CALIFORNIA SUR
710,3008,SITIO CONTROLADO LA CANDELARIA,"230,206,474","-1,100,307,174",286900,BAJA CALIFORNIA SUR
711,3008,AGUA CALIENTE,"2,343,680,064","-10,977,238,185",10000,BAJA CALIFORNIA SUR
712,3008,LAS CUEVAS,"2,354,777,778","-1,096,632,778",10000,BAJA CALIFORNIA SUR
713,3008,BUENA VISTA,"2,364,933,333","-1,097,184,444",20000,BAJA CALIFORNIA SUR
714,3008,LA RIBERA,"2,355,216,667","-1,095,311,944",30000,BAJA CALIFORNIA SUR
715,3008,MIRAFLORES,"2,339,088,889","-1,097,486,667",50000,BAJA CALIFORNIA SUR
716,3008,SANTIAGO,"2,349,816,667","-1,097,306,389",2000,BAJA CALIFORNIA SUR
718,8016,RELLENO MUNICIPAL,"27,877,035","-105,226,789",0,CHIHUAHUA
719,8019,SITIO DE DISPOSICION FINAL (RELLENO SANITARIO),"2,869,989","-10,603,307",490000,CHIHUAHUA
720,8020,BASURERO MUNCIPAL CHINIPAS,"27,385,422","-108,519,481",100,CHIHUAHUA
723,8022,BASURERO DE BELISARIO DOMINGUEZ,"28,152,796","-106,495,817",0,CHIHUAHUA
724,8022,BASURERO DE SANTA BARBARA DE TUTUACA,"2,803,675","-106,524,153",0,CHIHUAHUA
725,8022,BASURERO DE SANTA MARIA DE CUEVAS,"2,793,395","-10,639,081",0,CHIHUAHUA
726,8022,BASURERO DE EXHACIENDA LOS REMEDIOS,"2,795,061","-10,641,003",0,CHIHUAHUA
727,8022,CIENEGA DE LOYA,"28,173,273","-106,394,411",0,CHIHUAHUA
728,8022,SANTA ROSALIA DE CUEVAS,"2,805,725","-106,464,756",0,CHIHUAHUA
729,8024,BASURERO MUNICIPAL SANTA ISABEL,"28,346,926","-106,349,409",2400,CHIHUAHUA
730,8024,BASURERO RANCHO DE PEÑA,"283,358,543","-10,626,808,544",150,CHIHUAHUA
731,8024,BASURERO DE SAN MIGUEL DE LOS ANCHONDO,"2,826,242","-10,624,525",2500,CHIHUAHUA
732,8024,BASURERO DE PALOMAS,"28,375,675","-106,258,696",0,CHIHUAHUA
733,8024,BASURERO DE SANTA ROSA,"2,833,726","-10,643,617",0,CHIHUAHUA
734,8025,BASURERO MUNICIPAL,"29,319,813","-107,718,138",12000,CHIHUAHUA
735,8025,BASURERO PEÑA BLANCA,"292,952","-107,697",2500,CHIHUAHUA
736,8025,BASUERERO DE SAN JOSE DE BAVICORA,"29,243,072","-107,762,045",10000,CHIHUAHUA
737,8025,BASURERO LA PINTA,"2,924,627","-10,765,867",2500,CHIHUAHUA
738,8025,BASURERO COLONIA LIBERTAD,"29,243,522","-107,762,186",2500,CHIHUAHUA
739,8025,BASURERO PORVENIR DEL CAMPESINO,"2,945,651","-10,777,056",2500,CHIHUAHUA
740,8025,BASURERO LA MARTHA,"29,482,886","-1,078,382",2500,CHIHUAHUA
741,8028,TIRADERO MUNICIPAL,"3,135,636","-106,108,656",10000,CHIHUAHUA
742,8028,TIRADERO MUNICIPAL BARREALES,"3,138,866","-10,615,007",6000,CHIHUAHUA
743,8029,BASURERO MUNICIPAL EL CEBOLLIN,"26,094,635","-10,694,419",0,CHIHUAHUA
745,8030,BASURERO MUNICIPAL EL COLGADO,"27,310,391","-108,285,169",5000,CHIHUAHUA
746,8031,BASURERO SAN RAFAEL,"28,537,775","-107,448,792",10000,CHIHUAHUA
747,8031,RELLENO SANITARIO PASCUAL OROZCO,"28,568,111","-1,074,365",450,CHIHUAHUA
748,8031,BASURERO DE TOMOCHI,"28,373,807","-107,865,547",450,CHIHUAHUA
749,8031,RELLENO SANITARIO LA JUNTA,"28,449,637","-107,341,591",1600,CHIHUAHUA
750,8031,RELLENO SANITARIO SANTO TOMAS,"28,690,468","-107,564,548",300,CHIHUAHUA
751,8031,BASUCHIL,"28,514,173","-107,376,145",400,CHIHUAHUA
752,8032,BASURERO MUNICIPAL,"26,939,279","-10,561,658",140000,CHIHUAHUA
762,8041,BASURERO MUNICIPAL,"27,850,079","-108,011,169",2500,CHIHUAHUA
764,8042,RELLENO SANITARIO,"29,087,386","-103,912,429",5000,CHIHUAHUA
765,8047,BASURERO MUNICIPAL,"28,161,563","-108,527,458",500,CHIHUAHUA
766,8047,BASURERO EL PILAR (BASURON),"28,105,772","-108,610,202",250,CHIHUAHUA
767,8048,NUEVO NAMIQUIPA,"29,245,275","-10,664,912",2500,CHIHUAHUA
768,8048,OJOS AZULES,"29,341,226","-10,676,003",200,CHIHUAHUA
769,8048,EMILIANO ZAPATA,"2,940,428","-10,700,679",60,CHIHUAHUA
770,8048,BASURERO DE SANTA CLARA,"29,291,163","-106,996,579",625,CHIHUAHUA
771,8048,EL TERRERO NAMIQUIPA,"2,916,177,874","-10,735,722,056",6000,CHIHUAHUA
772,8048,BASURERO MUNICIPAL NAMIQUIPA,"29,234,868","-107,390,783",1500,CHIHUAHUA
773,8048,BENITO JUAREZ,"29,161,433","-106,928,187",2500,CHIHUAHUA
774,8048,BASURERO DE SANTA ANA DE BAVICORA,"29,029,345","-107,575,393",9000,CHIHUAHUA
775,8048,BASURERO DE SANTA CATALINA,"29,201,213","-106,981,328",1600,CHIHUAHUA
776,8048,INDEPENDENCIA,"29,082,933","-107,539,193",900,CHIHUAHUA
777,8048,RUIZ CORTINEZ,"28,927,722","-107,499,424",625,CHIHUAHUA
778,8048,LAS CRUCES,"2,942,812","-1,073,657",900,CHIHUAHUA
779,8048,TASCATE,"29,484,345","-107,357,475",900,CHIHUAHUA
780,8049,BASURERO MUNICIPAL,"27,490,856","-106,726,765",350,CHIHUAHUA
782,8051,BASURERO MUNICIPAL,"28,187,613","-108,406,205",20000,CHIHUAHUA
783,8051,BASURERO DE HUAJUMAR,"2,818,977,018","-10,825,169,263",10000,CHIHUAHUA
784,8051,BASURERO CAJURICHI,"28,117,422","-108,135,893",5000,CHIHUAHUA
785,8051,BASURERO BAQUIRIACHI,"28,210,451","-108,227,846",20000,CHIHUAHUA
786,8052,RELLENO SANITARIO MUNICIPAL,"29,551,635","-104,497,134",10000,CHIHUAHUA
787,8054,BASURERO MUNICIPAL,"28,556,938","-106,502,957",2500,CHIHUAHUA
788,8059,BASURERO MUNICIPAL,"268,877","-105,841,257",1600,CHIHUAHUA
827,8061,BASURERO SATEVO,"27,959,456","-10,610,184",71272,CHIHUAHUA
828,8061,BASURERO SAN JOSE DEL SITIO,"27,517,312","-106,256,553",0,CHIHUAHUA
829,8061,BASURERO SAN ANTONIO DE LOS CHACON,"2,804,023","-10,620,488",0,CHIHUAHUA
830,8061,BASURERO LA JOYA,"2,808,302","-1,062,658",0,CHIHUAHUA
834,11022,RELLENO SANITARIO DE OCAMPO,"21,664,721","-10,146,522",50000,GUANAJUATO
836,8063,BASURERO LOS LEONES,"2,913,393","-107,959,445",500,CHIHUAHUA
837,8063,BASURERO LA CONCHA,"29,115,888","-107,891,324",300,CHIHUAHUA
838,8063,BASURERO YEPOMERA,"2,905,666,588","-10,785,348,003",400,CHIHUAHUA
839,8063,BASURERO MUNICIPAL DE TEMOSACHIC,"2,893,962,286","-10,784,735,187",2000,CHIHUAHUA
840,8063,BASURERO SAN ISIDRO,"28,895,335","-107,782,902",500,CHIHUAHUA
842,8064,BASURERO MUNICIPAL CABECERA (EL TULE),"27,063,071","-106,256,962",0,CHIHUAHUA
843,8064,BASURERO PUBLICO SAN MATEO,"27,070,079","-106,330,963",0,CHIHUAHUA
844,8064,BASURERO PUBLICO DE LA LOCALIDAD DE VAQUETEROS,"27,131,309","-106,343,523",0,CHIHUAHUA
845,8064,BASURERO PUBLICO EL ALAMO,"27,133,365","-106,247,085",0,CHIHUAHUA
846,8065,BASURERO DE URIQUE,"27,192,097","-107,911,225",0,CHIHUAHUA
847,8065,BASURERO DE SAN RAFAEL,"27,511,941","-107,911,412",1000,CHIHUAHUA
848,8065,BASURERO BAHUICHIVO,"27,430,762","-108,061,497",250,CHIHUAHUA
849,8065,BASURERO DE CEROCAHUI,"2,728,334","-1,080,539",200,CHIHUAHUA
850,8065,CIENEGUITA,"27,433,657","-108,007,874",500,CHIHUAHUA
851,8066,RELLENO SANITARIO MUNICIPAL URUACHI,"27,881,478","-108,221,505",1000,CHIHUAHUA
852,8066,CALAVERAS,"2,799,564","-108,176,343",400,CHIHUAHUA
853,8066,GOSOGACHI,"27,847,551","-10,831,615",400,CHIHUAHUA
857,14005,RELLENOS SANITARIOS DE MEXICO S.A. DE C.V. O RELLENO DE TEQUILA,"209,113","-1,038,567,194",0,
858,14065,SISTEMA INTERMUNICIPAL DE MANEJO DE RESIDUOS SOLIDOS SIMAR,"1,954,042,944","-10,335,252,527",15000,JALISCO
860,14007,BASURERO MUNICIPAL,"2,077,386,111","-1,040,075,917",9570,JALISCO
863,14009,"BASURERO, MUNICIPAL EL ARENAL","2,070,298,333","-1,036,591,917",40000,JALISCO
882,29060,RELLENO SANITARIO TONSIL,"19,332,125","-9,828,806,667",680000,TLAXCALA
883,29016,RELLENO SANITARIO BENITO JUAREZ,"19,374,725","-9,789,744,444",75000,TLAXCALA
